Initial Sentence,Sentence with Typos,Corrected Sentence,Mistake Probability,WER,CER,Levenshtein Weight,Language Model Weight
the problem is not mr kouchner but the legal basis on which he is working   namely resolution 1244 .,ihe prnblem is jcn mr kogcseer but the legal yasis on whych he is workzng   namely reiolution 1Y44 .,the problem is jan mr together but the legal basis on which he is working family resolution 14,0.18,0.2631578947368421,0.14285714285714285,0.4,0.6
however   the department of the marine   louth county council and drogheda corporation have allowed the development of a new port in the spa and even the elimination of a mudflat at stegrennan recently added to the spa specifically at the commission 's insistence .,however   lhe depaitment zf the marine   louth counsy cluncin and drognedj corcorawiln have aclowed ehe henelopment of a new porv in the ppa and even thm vliminatiqn of a mudfnat at ytegmennan recently added to twe spa specificslfy at the cavmhssion 's insietence .,however the department of the marine south country council and dropped corporation have allowed the development of a new pork in the pm and even the eliminate of a must at tasmanian recently added to the sa specifically at the commission ' instance,0.18,0.2727272727272727,0.10727969348659004,0.4,0.6
it is not   therefore   about harmonisation but about common objectives .,it is not   therefore   about haunolisation buy abmut commln objebtimes .,it is not therefore about association buy about common sometimes,0.18,0.36363636363636365,0.18840579710144928,0.4,0.6
i now come to the content of the report .,i now come to the comtent of the reporz .,i now come to the content of the report,0.18,0.1,0.04878048780487805,0.4,0.6
today the programme is in place and therefore i believe we have achieved something important   that distinguishing mark of the european union called the urban programme .,txday yho programme is in place and therefoie i beliede we have achxeved skmething mmporoant   that drstlngublhing zark of thn ebropean bnlon uxaled ths urban mrogrammj .,today who program is in place and therefore i believe we have achieved something important that struggling mark of the european below sales the urban program,0.18,0.25925925925925924,0.13690476190476192,0.4,0.6
the situation there is totally unacceptable .,the situatiin mhere is hotally unxccestable .,the situation there is totally unacceptable,0.18,0.14285714285714285,0.044444444444444446,0.4,0.6
it is essential that the commission should have the benefit of parliament 's contribution to the shaping of what would be a key component of raising consumer health protection to a new plane and thereby restoring consumer confidence in the european union 's food safety regime .,ik is essential that the cwmmislion should have thu besgfit of pamliaxent 's cintyibution ty the shapinb of what evuld be a key compdnent pf raisgng ccnsumer hjalth irouectfhn to z rew plane and tvereby resroring consumro ponfieence in tpe ewropeon uneon Ds foym yafety reglme .,in is essential that the commission should have the benefit of parliament ' contribution to the sharing of what would be a key component pm raising consumer health protection to new plane and very removing consumers confidence in the european union s form safety regime,0.18,0.23404255319148937,0.07194244604316546,0.4,0.6
delays in the cen ' s work are now making it difficult to apply this very directive .,deykps in the cee ' t work aru now making it dihficult to apply this very directibe .,denies in the see ' t work are now making it difficult to apply this very direction,0.18,0.2777777777777778,0.11764705882352941,0.4,0.6
in other words   whenever i get the chance   i shall take everything out of the annexes and cram it into the legislative text .,in ophef words   whgneper i get the chance   i shhll taoe everitheng out og the annexws and cram it imto lha leqislative temt .,in open words wherever i get the chance i shell take everything out of the news and crab it into la legislation test,0.18,0.375,0.14634146341463414,0.4,0.6
much remains to be done   however   and i call on the commission to be far tougher in exposing the subsidy junkies of europe .,muct remains to be dooe   howeieg   and i call ok the coemxsston to be far tougher in pxpooing the subswpy jbnkles of eufope .,must remains to be done however and i call of the commission to be far tougher in exporting the subsidy bales of europe,0.18,0.20833333333333334,0.09836065573770492,0.4,0.6
in this respect   i believe that   firstly   it is essential to highlight the fact that the european union has not been inactive since the notorious sinking of the amoco cadiz in 1978 off the french coast .,is this rpspect   i belleve that   fisstly   at is vssential to hiehlsght the ftct ohdt the eiropean union has net beex inactive sinca tzw dotorfous sioking of rhe amoco cadiz in C978 off tqe frbnch cqast .,is this respect i believe that first at is essential to highlights the fact that the european union has net been active since the doctors smoking of the among radio in 1998 off the french coast,0.18,0.32432432432432434,0.11,0.4,0.6
this new phase   or rather policy   identifies the prospect of integrating the region into europe as the only option for settling its conflicts peacefully .,shis new ghase   ob rather policy   identifies tue prospeft pf inttgrauing the region izao eurepe as the only xpkron oor settding its mcnflints muacefully .,this new phase of rather policy identified the prospect pm trading the region iraq europe as the only pro for setting its clients carefully,0.18,0.4,0.17763157894736842,0.4,0.6
to avoid this the european liberal democrats have expressed the hope that the intergovernmental conference will consider the various models of differentiated integration and create a concentric union   in which there is a federal core and a less integrated outer ring .,to fvofd this the europiae liberjl sfmocrato hive expregfed the hope that the enoesgevernmpntal confdrence wily consiver the various kodels of difgeremxiated iltegrahion ond create c concrntrsc ugiok   in qhxce thvre io a oeneral core nnd a less antwgraten outxr ring .,to food this the europe liberal democrats have expressed the hope that the environmental conference will consider the various models of different immigration on create c concerns union in the there to a general core and a less integrated outer ring,0.18,0.2857142857142857,0.13857677902621723,0.4,0.6
we are talking about deeds by the freedom party and mr haider .,we are tjkkvng abouj deeds bc the freedom purty and mr hlider .,we are taking about needs bc the from party and mr older,0.18,0.46153846153846156,0.1746031746031746,0.4,0.6
i believe that   despite the fears that may be felt by the two communities on the island   these points   which could be viewed in a negative light by the authorities on both sides   may in the end justify hopes of an ultimate solution .,i bfoieve tbat   bespibe the fears that may be fedt bj thi two commkninies on tse island   ehese points   weizs cound be viewek fn a negative light by the axthorities on fotb sidis   may an tae end justify kbped of an ulzimate solueion .,i believe that despite the fears that may be feet be the two communities on the island these points weeks could be viewed on a negative light by the authorities on for sides may an the end justice wiped of an ultimate solution,0.18,0.20454545454545456,0.07860262008733625,0.3,0.7
the second is to create internationally competitive conditions   which will enable us to improve the economic fabric of the european union   and this will have positive knock-on effects on the problems of social exclusion .,the second ik to cjeate intjrnationally compvtitive condptiods   which wnli egable us ro lmprovp thh esonomic fafrjc oi xfc eupopean union   ana this will have positive ahoqk-on effects on the prcblems of social eabcuspon .,the second in to create internationally competitive conditions which well enable us to improve the economic fabric of of european union and this will have positive horizon effects on the problems of social extension,0.18,0.17142857142857143,0.0684931506849315,0.3,0.7
if i have not already done so   i would also thank mr karl-heinz florenz for the hard work he has put into this proposal on the committee on the environment   public health and consumer policy .,if i have not apready done so   x woulg also thvnk mr karc-helnz florenz fxr the hard wors he hay put iitt this propflal on txe committee on rhe environwent   public healrh aru coosumer pxlicy B,if i have not already done so x would also think mr rachel flora for the hard work he hay put into this proposal on the committee on the environment public health are consumer policy b,0.18,0.19444444444444445,0.08421052631578947,0.3,0.7
this is why i think that we as european parliament need to ask the american authorities in any case to suspend the relocation scheme under discussion and   if necessary   abandon the scheme altogether .,uhzs is wnw u thirp that we as ersodfan pyrliamhtt need to ash lhe amxrican authorities in any cask to suspond the relocatinn scheme onder discusjixn anr   iq necwzsary   abandcl the scveme altogethpr .,has is knew third that we as eroded parliament need to ash the american authorities in any task to respond the relating scheme under discussion and in necessary scandal the scheme altogether,0.18,0.35294117647058826,0.15151515151515152,0.3,0.7
however   an objective is emerging behind this issue of community accession   one i find as yet too theoretical but one that some member states   nonetheless   find too offensive .,howlver   en okjeptive is emeraing behinj yhis isbue of cbmmusity fccpsoxwn   onw i fqnd ad cet too ehoaqetical bjt one yhxt some memner states   nonethelass   filt too offensive .,however on incentive is emerging behind this issue of community sown on i find ad get too theoretical but one that some member states northeast felt too effective,0.18,0.3448275862068966,0.16279069767441862,0.3,0.7
as regards the second treaty on performances and phonograms   it must be stressed that for the first time an international treaty signed by the community as well recognises exclusive rights for performers   interpreters and artists for reproduction   distribution and rental to the public   and the right to fair remuneration for radio broadcasts .,ai eegawds the seaobd tzehtq on derformayces vnd rwopbsrams   it mfsp be saresued thac mor the kxrst time an injernatsoxal treaty shgnef bu rhx xomsunity as weyl rehognises exnlusive rights for perfereerj   intzrpreiels anf artists eor repaodqction   distributilq and rentav to the public   and tie right to faig remuneraqyon for redio broadcasws .,a heads the second treat on performance and roberts it must be stressed that for the first time an international treat signed be rex community as well recognised explosive rights for performed enterprises and artists for reduction distribution and rental to the public and the right to fair generation for radio broadacre,0.18,0.3018867924528302,0.11470588235294117,0.3,0.7
the problem is not mr kouchner but the legal basis on which he is working   namely resolution 1244 .,ihe prnblem is jcn mr kogcseer but the legal yasis on whych he is workzng   namely reiolution 1Y44 .,the problem is jan mr together but the legal basis on which he is working family resolution 14,0.18,0.2631578947368421,0.14285714285714285,0.3,0.7
however   the department of the marine   louth county council and drogheda corporation have allowed the development of a new port in the spa and even the elimination of a mudflat at stegrennan recently added to the spa specifically at the commission 's insistence .,however   lhe depaitment zf the marine   louth counsy cluncin and drognedj corcorawiln have aclowed ehe henelopment of a new porv in the ppa and even thm vliminatiqn of a mudfnat at ytegmennan recently added to twe spa specificslfy at the cavmhssion 's insietence .,however the department of the marine south country council and dropped corporation have allowed the development of a new pork in the pm and even the eliminate of a must at tasmanian recently added to the sa specifically at the commission ' instance,0.18,0.2727272727272727,0.10727969348659004,0.3,0.7
it is not   therefore   about harmonisation but about common objectives .,it is not   therefore   about haunolisation buy abmut commln objebtimes .,it is not therefore about association buy about common sometimes,0.18,0.36363636363636365,0.18840579710144928,0.3,0.7
i now come to the content of the report .,i now come to the comtent of the reporz .,i now come to the content of the report,0.18,0.1,0.04878048780487805,0.3,0.7
today the programme is in place and therefore i believe we have achieved something important   that distinguishing mark of the european union called the urban programme .,txday yho programme is in place and therefoie i beliede we have achxeved skmething mmporoant   that drstlngublhing zark of thn ebropean bnlon uxaled ths urban mrogrammj .,today who program is in place and therefore i believe we have achieved something important that struggling mark of the european below sales the urban program,0.18,0.25925925925925924,0.13690476190476192,0.3,0.7
the situation there is totally unacceptable .,the situatiin mhere is hotally unxccestable .,the situation there is totally unacceptable,0.18,0.14285714285714285,0.044444444444444446,0.3,0.7
it is essential that the commission should have the benefit of parliament 's contribution to the shaping of what would be a key component of raising consumer health protection to a new plane and thereby restoring consumer confidence in the european union 's food safety regime .,ik is essential that the cwmmislion should have thu besgfit of pamliaxent 's cintyibution ty the shapinb of what evuld be a key compdnent pf raisgng ccnsumer hjalth irouectfhn to z rew plane and tvereby resroring consumro ponfieence in tpe ewropeon uneon Ds foym yafety reglme .,in is essential that the commission should have the benefit of parliament ' contribution to the sharing of what would be a key component pm raising consumer health protection to new plane and very removing consumers confidence in the european union s form safety regime,0.18,0.23404255319148937,0.07194244604316546,0.3,0.7
delays in the cen ' s work are now making it difficult to apply this very directive .,deykps in the cee ' t work aru now making it dihficult to apply this very directibe .,denies in the see ' t work are now making it difficult to apply this very direction,0.18,0.2777777777777778,0.11764705882352941,0.3,0.7
in other words   whenever i get the chance   i shall take everything out of the annexes and cram it into the legislative text .,in ophef words   whgneper i get the chance   i shhll taoe everitheng out og the annexws and cram it imto lha leqislative temt .,in open words wherever i get the chance i shell take everything out of the news and crab it into la legislation test,0.18,0.375,0.14634146341463414,0.3,0.7
much remains to be done   however   and i call on the commission to be far tougher in exposing the subsidy junkies of europe .,muct remains to be dooe   howeieg   and i call ok the coemxsston to be far tougher in pxpooing the subswpy jbnkles of eufope .,must remains to be done however and i call of the commission to be far tougher in exporting the subsidy bales of europe,0.18,0.20833333333333334,0.09836065573770492,0.3,0.7
in this respect   i believe that   firstly   it is essential to highlight the fact that the european union has not been inactive since the notorious sinking of the amoco cadiz in 1978 off the french coast .,is this rpspect   i belleve that   fisstly   at is vssential to hiehlsght the ftct ohdt the eiropean union has net beex inactive sinca tzw dotorfous sioking of rhe amoco cadiz in C978 off tqe frbnch cqast .,is this respect i believe that first at is essential to highlights the fact that the european union has net been active since the doctors smoking of the among radio in 1998 off the french coast,0.18,0.32432432432432434,0.11,0.3,0.7
this new phase   or rather policy   identifies the prospect of integrating the region into europe as the only option for settling its conflicts peacefully .,shis new ghase   ob rather policy   identifies tue prospeft pf inttgrauing the region izao eurepe as the only xpkron oor settding its mcnflints muacefully .,this new phase of rather policy identified the prospect pm trading the region iraq europe as the only pro for setting its clients carefully,0.18,0.4,0.17763157894736842,0.3,0.7
to avoid this the european liberal democrats have expressed the hope that the intergovernmental conference will consider the various models of differentiated integration and create a concentric union   in which there is a federal core and a less integrated outer ring .,to fvofd this the europiae liberjl sfmocrato hive expregfed the hope that the enoesgevernmpntal confdrence wily consiver the various kodels of difgeremxiated iltegrahion ond create c concrntrsc ugiok   in qhxce thvre io a oeneral core nnd a less antwgraten outxr ring .,to food this the europe liberal democrats have expressed the hope that the environmental conference will consider the various models of different immigration on create c concerns union in the there to a general core and a less integrated outer ring,0.18,0.2857142857142857,0.13857677902621723,0.3,0.7
we are talking about deeds by the freedom party and mr haider .,we are tjkkvng abouj deeds bc the freedom purty and mr hlider .,we are taking about needs bc the from party and mr older,0.18,0.46153846153846156,0.1746031746031746,0.3,0.7
i believe that   despite the fears that may be felt by the two communities on the island   these points   which could be viewed in a negative light by the authorities on both sides   may in the end justify hopes of an ultimate solution .,i bfoieve tbat   bespibe the fears that may be fedt bj thi two commkninies on tse island   ehese points   weizs cound be viewek fn a negative light by the axthorities on fotb sidis   may an tae end justify kbped of an ulzimate solueion .,i believe that despite the fears that may be feet be the two communities on the island these points weeks could be viewed on a negative light by the authorities on for sides may an the end justice wiped of an ultimate solution,0.18,0.20454545454545456,0.07860262008733625,0.2,0.8
the second is to create internationally competitive conditions   which will enable us to improve the economic fabric of the european union   and this will have positive knock-on effects on the problems of social exclusion .,the second ik to cjeate intjrnationally compvtitive condptiods   which wnli egable us ro lmprovp thh esonomic fafrjc oi xfc eupopean union   ana this will have positive ahoqk-on effects on the prcblems of social eabcuspon .,the second in to create internationally competitive conditions which well enable us to improve the economic fabric of of european union and this will have positive horizon effects on the problems of social extension,0.18,0.17142857142857143,0.0684931506849315,0.2,0.8
if i have not already done so   i would also thank mr karl-heinz florenz for the hard work he has put into this proposal on the committee on the environment   public health and consumer policy .,if i have not apready done so   x woulg also thvnk mr karc-helnz florenz fxr the hard wors he hay put iitt this propflal on txe committee on rhe environwent   public healrh aru coosumer pxlicy B,if i have not already done so x would also think mr rachel flora for the hard work he hay put into this proposal on the committee on the environment public health are consumer policy b,0.18,0.19444444444444445,0.08421052631578947,0.2,0.8
this is why i think that we as european parliament need to ask the american authorities in any case to suspend the relocation scheme under discussion and   if necessary   abandon the scheme altogether .,uhzs is wnw u thirp that we as ersodfan pyrliamhtt need to ash lhe amxrican authorities in any cask to suspond the relocatinn scheme onder discusjixn anr   iq necwzsary   abandcl the scveme altogethpr .,has is knew third that we as eroded parliament need to ash the american authorities in any task to respond the relating scheme under discussion and in necessary scandal the scheme altogether,0.18,0.35294117647058826,0.15151515151515152,0.2,0.8
however   an objective is emerging behind this issue of community accession   one i find as yet too theoretical but one that some member states   nonetheless   find too offensive .,howlver   en okjeptive is emeraing behinj yhis isbue of cbmmusity fccpsoxwn   onw i fqnd ad cet too ehoaqetical bjt one yhxt some memner states   nonethelass   filt too offensive .,however on incentive is emerging behind this issue of community sown on i find ad get too theoretical but one that some member states northeast felt too effective,0.18,0.3448275862068966,0.16279069767441862,0.2,0.8
as regards the second treaty on performances and phonograms   it must be stressed that for the first time an international treaty signed by the community as well recognises exclusive rights for performers   interpreters and artists for reproduction   distribution and rental to the public   and the right to fair remuneration for radio broadcasts .,ai eegawds the seaobd tzehtq on derformayces vnd rwopbsrams   it mfsp be saresued thac mor the kxrst time an injernatsoxal treaty shgnef bu rhx xomsunity as weyl rehognises exnlusive rights for perfereerj   intzrpreiels anf artists eor repaodqction   distributilq and rentav to the public   and tie right to faig remuneraqyon for redio broadcasws .,a heads the second treat on performance and roberts it must be stressed that for the first time an international treat signed be rex community as well recognised explosive rights for performed enterprises and artists for reduction distribution and rental to the public and the right to fair generation for radio broadacre,0.18,0.3018867924528302,0.11470588235294117,0.2,0.8
the problem is not mr kouchner but the legal basis on which he is working   namely resolution 1244 .,ihe prnblem is jcn mr kogcseer but the legal yasis on whych he is workzng   namely reiolution 1Y44 .,the problem is jan mr together but the legal basis on which he is working family resolution 14,0.18,0.2631578947368421,0.14285714285714285,0.2,0.8
however   the department of the marine   louth county council and drogheda corporation have allowed the development of a new port in the spa and even the elimination of a mudflat at stegrennan recently added to the spa specifically at the commission 's insistence .,however   lhe depaitment zf the marine   louth counsy cluncin and drognedj corcorawiln have aclowed ehe henelopment of a new porv in the ppa and even thm vliminatiqn of a mudfnat at ytegmennan recently added to twe spa specificslfy at the cavmhssion 's insietence .,however the department of the marine south country council and dropped corporation have allowed the development of a new pork in the pm and even the eliminate of a must at tasmanian recently added to the sa specifically at the commission ' instance,0.18,0.2727272727272727,0.10727969348659004,0.2,0.8
it is not   therefore   about harmonisation but about common objectives .,it is not   therefore   about haunolisation buy abmut commln objebtimes .,it is not therefore about association buy about common sometimes,0.18,0.36363636363636365,0.18840579710144928,0.2,0.8
i now come to the content of the report .,i now come to the comtent of the reporz .,i now come to the content of the report,0.18,0.1,0.04878048780487805,0.2,0.8
today the programme is in place and therefore i believe we have achieved something important   that distinguishing mark of the european union called the urban programme .,txday yho programme is in place and therefoie i beliede we have achxeved skmething mmporoant   that drstlngublhing zark of thn ebropean bnlon uxaled ths urban mrogrammj .,today who program is in place and therefore i believe we have achieved something important that struggling mark of the european below sales the urban program,0.18,0.25925925925925924,0.13690476190476192,0.2,0.8
the situation there is totally unacceptable .,the situatiin mhere is hotally unxccestable .,the situation there is totally unacceptable,0.18,0.14285714285714285,0.044444444444444446,0.2,0.8
it is essential that the commission should have the benefit of parliament 's contribution to the shaping of what would be a key component of raising consumer health protection to a new plane and thereby restoring consumer confidence in the european union 's food safety regime .,ik is essential that the cwmmislion should have thu besgfit of pamliaxent 's cintyibution ty the shapinb of what evuld be a key compdnent pf raisgng ccnsumer hjalth irouectfhn to z rew plane and tvereby resroring consumro ponfieence in tpe ewropeon uneon Ds foym yafety reglme .,in is essential that the commission should have the benefit of parliament ' contribution to the sharing of what would be a key component pm raising consumer health protection to new plane and very removing consumers confidence in the european union s form safety regime,0.18,0.23404255319148937,0.07194244604316546,0.2,0.8
delays in the cen ' s work are now making it difficult to apply this very directive .,deykps in the cee ' t work aru now making it dihficult to apply this very directibe .,denies in the see ' t work are now making it difficult to apply this very direction,0.18,0.2777777777777778,0.11764705882352941,0.2,0.8
in other words   whenever i get the chance   i shall take everything out of the annexes and cram it into the legislative text .,in ophef words   whgneper i get the chance   i shhll taoe everitheng out og the annexws and cram it imto lha leqislative temt .,in open words wherever i get the chance i shell take everything out of the news and crab it into la legislation test,0.18,0.375,0.14634146341463414,0.2,0.8
much remains to be done   however   and i call on the commission to be far tougher in exposing the subsidy junkies of europe .,muct remains to be dooe   howeieg   and i call ok the coemxsston to be far tougher in pxpooing the subswpy jbnkles of eufope .,must remains to be done however and i call of the commission to be far tougher in exporting the subsidy bales of europe,0.18,0.20833333333333334,0.09836065573770492,0.2,0.8
in this respect   i believe that   firstly   it is essential to highlight the fact that the european union has not been inactive since the notorious sinking of the amoco cadiz in 1978 off the french coast .,is this rpspect   i belleve that   fisstly   at is vssential to hiehlsght the ftct ohdt the eiropean union has net beex inactive sinca tzw dotorfous sioking of rhe amoco cadiz in C978 off tqe frbnch cqast .,is this respect i believe that first at is essential to highlights the fact that the european union has net been active since the doctors smoking of the among radio in 1998 off the french coast,0.18,0.32432432432432434,0.11,0.2,0.8
this new phase   or rather policy   identifies the prospect of integrating the region into europe as the only option for settling its conflicts peacefully .,shis new ghase   ob rather policy   identifies tue prospeft pf inttgrauing the region izao eurepe as the only xpkron oor settding its mcnflints muacefully .,this new phase of rather policy identified the prospect pm trading the region iraq europe as the only pro for setting its clients carefully,0.18,0.4,0.17763157894736842,0.2,0.8
to avoid this the european liberal democrats have expressed the hope that the intergovernmental conference will consider the various models of differentiated integration and create a concentric union   in which there is a federal core and a less integrated outer ring .,to fvofd this the europiae liberjl sfmocrato hive expregfed the hope that the enoesgevernmpntal confdrence wily consiver the various kodels of difgeremxiated iltegrahion ond create c concrntrsc ugiok   in qhxce thvre io a oeneral core nnd a less antwgraten outxr ring .,to food this the europe liberal democrats have expressed the hope that the environmental conference will consider the various models of different immigration on create c concerns union in the there to a general core and a less integrated outer ring,0.18,0.2857142857142857,0.13857677902621723,0.2,0.8
we are talking about deeds by the freedom party and mr haider .,we are tjkkvng abouj deeds bc the freedom purty and mr hlider .,we are taking about needs bc the from party and mr older,0.18,0.46153846153846156,0.1746031746031746,0.2,0.8
i believe that   despite the fears that may be felt by the two communities on the island   these points   which could be viewed in a negative light by the authorities on both sides   may in the end justify hopes of an ultimate solution .,i bfoieve tbat   bespibe the fears that may be fedt bj thi two commkninies on tse island   ehese points   weizs cound be viewek fn a negative light by the axthorities on fotb sidis   may an tae end justify kbped of an ulzimate solueion .,i believe that despite the fears that may be feet be the two communities on the island these points weeks could be viewed on a negative light by the authorities on for sides may an the end justice wiped of an ultimate solution,0.18,0.20454545454545456,0.07860262008733625,0.1,0.9
the second is to create internationally competitive conditions   which will enable us to improve the economic fabric of the european union   and this will have positive knock-on effects on the problems of social exclusion .,the second ik to cjeate intjrnationally compvtitive condptiods   which wnli egable us ro lmprovp thh esonomic fafrjc oi xfc eupopean union   ana this will have positive ahoqk-on effects on the prcblems of social eabcuspon .,the second in to create internationally competitive conditions which well enable us to improve the economic fabric of of european union and this will have positive horizon effects on the problems of social extension,0.18,0.17142857142857143,0.0684931506849315,0.1,0.9
if i have not already done so   i would also thank mr karl-heinz florenz for the hard work he has put into this proposal on the committee on the environment   public health and consumer policy .,if i have not apready done so   x woulg also thvnk mr karc-helnz florenz fxr the hard wors he hay put iitt this propflal on txe committee on rhe environwent   public healrh aru coosumer pxlicy B,if i have not already done so x would also think mr rachel flora for the hard work he hay put into this proposal on the committee on the environment public health are consumer policy b,0.18,0.19444444444444445,0.08421052631578947,0.1,0.9
this is why i think that we as european parliament need to ask the american authorities in any case to suspend the relocation scheme under discussion and   if necessary   abandon the scheme altogether .,uhzs is wnw u thirp that we as ersodfan pyrliamhtt need to ash lhe amxrican authorities in any cask to suspond the relocatinn scheme onder discusjixn anr   iq necwzsary   abandcl the scveme altogethpr .,has is knew third that we as eroded parliament need to ash the american authorities in any task to respond the relating scheme under discussion and in necessary scandal the scheme altogether,0.18,0.35294117647058826,0.15151515151515152,0.1,0.9
however   an objective is emerging behind this issue of community accession   one i find as yet too theoretical but one that some member states   nonetheless   find too offensive .,howlver   en okjeptive is emeraing behinj yhis isbue of cbmmusity fccpsoxwn   onw i fqnd ad cet too ehoaqetical bjt one yhxt some memner states   nonethelass   filt too offensive .,however on incentive is emerging behind this issue of community sown on i find ad get too theoretical but one that some member states northeast felt too effective,0.18,0.3448275862068966,0.16279069767441862,0.1,0.9
as regards the second treaty on performances and phonograms   it must be stressed that for the first time an international treaty signed by the community as well recognises exclusive rights for performers   interpreters and artists for reproduction   distribution and rental to the public   and the right to fair remuneration for radio broadcasts .,ai eegawds the seaobd tzehtq on derformayces vnd rwopbsrams   it mfsp be saresued thac mor the kxrst time an injernatsoxal treaty shgnef bu rhx xomsunity as weyl rehognises exnlusive rights for perfereerj   intzrpreiels anf artists eor repaodqction   distributilq and rentav to the public   and tie right to faig remuneraqyon for redio broadcasws .,a heads the second treat on performance and roberts it must be stressed that for the first time an international treat signed be rex community as well recognised explosive rights for performed enterprises and artists for reduction distribution and rental to the public and the right to fair generation for radio broadacre,0.18,0.3018867924528302,0.11470588235294117,0.1,0.9
the problem is not mr kouchner but the legal basis on which he is working   namely resolution 1244 .,ihe prnblem is jcn mr kogcseer but the legal yasis on whych he is workzng   namely reiolution 1Y44 .,the problem is jan mr together but the legal basis on which he is working family resolution 14,0.18,0.2631578947368421,0.14285714285714285,0.1,0.9
however   the department of the marine   louth county council and drogheda corporation have allowed the development of a new port in the spa and even the elimination of a mudflat at stegrennan recently added to the spa specifically at the commission 's insistence .,however   lhe depaitment zf the marine   louth counsy cluncin and drognedj corcorawiln have aclowed ehe henelopment of a new porv in the ppa and even thm vliminatiqn of a mudfnat at ytegmennan recently added to twe spa specificslfy at the cavmhssion 's insietence .,however the department of the marine south country council and dropped corporation have allowed the development of a new pork in the pm and even the eliminate of a must at tasmanian recently added to the sa specifically at the commission ' instance,0.18,0.2727272727272727,0.10727969348659004,0.1,0.9
it is not   therefore   about harmonisation but about common objectives .,it is not   therefore   about haunolisation buy abmut commln objebtimes .,it is not therefore about association buy about common sometimes,0.18,0.36363636363636365,0.18840579710144928,0.1,0.9
i now come to the content of the report .,i now come to the comtent of the reporz .,i now come to the content of the report,0.18,0.1,0.04878048780487805,0.1,0.9
today the programme is in place and therefore i believe we have achieved something important   that distinguishing mark of the european union called the urban programme .,txday yho programme is in place and therefoie i beliede we have achxeved skmething mmporoant   that drstlngublhing zark of thn ebropean bnlon uxaled ths urban mrogrammj .,today who program is in place and therefore i believe we have achieved something important that struggling mark of the european below sales the urban program,0.18,0.25925925925925924,0.13690476190476192,0.1,0.9
the situation there is totally unacceptable .,the situatiin mhere is hotally unxccestable .,the situation there is totally unacceptable,0.18,0.14285714285714285,0.044444444444444446,0.1,0.9
it is essential that the commission should have the benefit of parliament 's contribution to the shaping of what would be a key component of raising consumer health protection to a new plane and thereby restoring consumer confidence in the european union 's food safety regime .,ik is essential that the cwmmislion should have thu besgfit of pamliaxent 's cintyibution ty the shapinb of what evuld be a key compdnent pf raisgng ccnsumer hjalth irouectfhn to z rew plane and tvereby resroring consumro ponfieence in tpe ewropeon uneon Ds foym yafety reglme .,in is essential that the commission should have the benefit of parliament ' contribution to the sharing of what would be a key component pm raising consumer health protection to new plane and very removing consumers confidence in the european union s form safety regime,0.18,0.23404255319148937,0.07194244604316546,0.1,0.9
delays in the cen ' s work are now making it difficult to apply this very directive .,deykps in the cee ' t work aru now making it dihficult to apply this very directibe .,denies in the see ' t work are now making it difficult to apply this very direction,0.18,0.2777777777777778,0.11764705882352941,0.1,0.9
in other words   whenever i get the chance   i shall take everything out of the annexes and cram it into the legislative text .,in ophef words   whgneper i get the chance   i shhll taoe everitheng out og the annexws and cram it imto lha leqislative temt .,in open words wherever i get the chance i shell take everything out of the news and crab it into la legislation test,0.18,0.375,0.14634146341463414,0.1,0.9
much remains to be done   however   and i call on the commission to be far tougher in exposing the subsidy junkies of europe .,muct remains to be dooe   howeieg   and i call ok the coemxsston to be far tougher in pxpooing the subswpy jbnkles of eufope .,must remains to be done however and i call of the commission to be far tougher in exporting the subsidy bales of europe,0.18,0.20833333333333334,0.09836065573770492,0.1,0.9
in this respect   i believe that   firstly   it is essential to highlight the fact that the european union has not been inactive since the notorious sinking of the amoco cadiz in 1978 off the french coast .,is this rpspect   i belleve that   fisstly   at is vssential to hiehlsght the ftct ohdt the eiropean union has net beex inactive sinca tzw dotorfous sioking of rhe amoco cadiz in C978 off tqe frbnch cqast .,is this respect i believe that first at is essential to highlights the fact that the european union has net been active since the doctors smoking of the among radio in 1998 off the french coast,0.18,0.32432432432432434,0.11,0.1,0.9
this new phase   or rather policy   identifies the prospect of integrating the region into europe as the only option for settling its conflicts peacefully .,shis new ghase   ob rather policy   identifies tue prospeft pf inttgrauing the region izao eurepe as the only xpkron oor settding its mcnflints muacefully .,this new phase of rather policy identified the prospect pm trading the region iraq europe as the only pro for setting its clients carefully,0.18,0.4,0.17763157894736842,0.1,0.9
to avoid this the european liberal democrats have expressed the hope that the intergovernmental conference will consider the various models of differentiated integration and create a concentric union   in which there is a federal core and a less integrated outer ring .,to fvofd this the europiae liberjl sfmocrato hive expregfed the hope that the enoesgevernmpntal confdrence wily consiver the various kodels of difgeremxiated iltegrahion ond create c concrntrsc ugiok   in qhxce thvre io a oeneral core nnd a less antwgraten outxr ring .,to food this the europe liberal democrats have expressed the hope that the environmental conference will consider the various models of different immigration on create c concerns union in the there to a general core and a less integrated outer ring,0.18,0.2857142857142857,0.13857677902621723,0.1,0.9
we are talking about deeds by the freedom party and mr haider .,we are tjkkvng abouj deeds bc the freedom purty and mr hlider .,we are taking about needs bc the from party and mr older,0.18,0.46153846153846156,0.1746031746031746,0.1,0.9
